נֶאֶנָח לֶהֶאֶנָח,westchnął westchnąć
אוֹמֶר לומָר,mówię mówić
נִמאָס להִימָאֶס,mam dość mieć dość
עוֹזֶב לָעָזוֹב,odchodzę odejść
יוֹדֶעָ לָדָעָת,wiem wiedzieć
צוֹחֶקֶת לִצחוֹק,śmieje się śmiać się
מָחלִיט להָחלִיט,decyduje zdecydować
לָעָבוֹר,przenieść się
הָיָה לִהִיוֹת,było być
חָשָבתִי לָחשוֹב,myślałem myśleć
תִתגָעגֶעָ להִתגָעָגֶעָ,zatęsknisz tęsknić
תָגִיד,powiesz
צוֹדֶק\ת,masz rację
קוֹרָעָת לִקרוֹעָ,zdziera zdzierać
עוֹקפִים לָעָקוֹף,wyprzedzają wyprzedzać
תִסתָדֶר להִסתָדֶר,poradzisz sobie poradzić sobie
מָרגִיש להָרגִיש,czuję czuć
רוֹדֶף לִרדוֹף,gonię gonić
מבִינָה להָבִין,rozumiem rozumieć
גָרתִי לָגוּר,mieszkałam mieszkać
מָתחִילִים להָתחִיל,zaczynają zaczynać
מִתעָרבִים להִתעָרֶב,wtrącają się wtrącać się
יָכוֹל,może
מָצִיק להָצִיק,przeszkadza przeszkadzać
אוֹמרִים לומָר,mówią mówić
תָחשוֹב לָחשוֹב,pomyśl pomyśleć
יִהיוּ לִהיוֹת,będą być
יִגדֶלוּ לִגדוֹל,dorosną dorastać
מכִינָה להָכִין,przygotowuje przygotować
אוֹמֶרֶת לומָר,mówi mówić
טוֹעה לִטעוֹת,myli się mylić się
רואֶה לִראוֹת,widzi widzieć
גָר\ה לָגוּר,mieszkam mieszkać
ניסיתי לנָסוֹת,spróbowałem spróbować
חָזָרתי לָחָזוֹר,wróciłem wrócić
תִשכָּח לִשכּוֹח,zapomnisz zapomnieć
תוּכָל,będziesz mógł
צוֹחֶקֶת לִצחוֹק,śmieje się śmiać się
קוֹנִים לִקנוֹת,kupują kupić
הוֹלֶך לָלֶכֶת,idę iść
תִהיֶה לִהִיוֹת,będziesz być
נוֹסֶעָ לִנסוֹעָ,jadę jechać
תִשלֶחִי לִשלוֹח,wyślesz wysłać
תִזָהֶר להִזָהֶר,uważaj uważać
מָתחִיל להָתחִיל,zaczyna zaczynać
חוֹזֶר לָחזוֹר,wracasz wracać
